symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,address,pnl
BTC,SHORT,72247.7,72247.7,1.0,1773597296211,LIMIT,71953.3,FILLED,binance,,,,,
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,BTC,0.12519,9003.79,0x19dcaae8...,-178.4
,short,,71950.0,,2026-03-15T17:54:16.576000,,,,hyperliquid,BTC,0.05246,3774.5,0x21290951...,-43.44
,short,,71950.0,,2026-03-15T17:54:16.576000,,,,hyperliquid,BTC,0.01845,1327.48,0x01ff0afc...,-15.48
,short,,71950.0,,2026-03-15T17:54:16.576000,,,,hyperliquid,BTC,0.00454,326.65,0x909fd983...,-3.85
BTC,LONG,285.9904,71497.6,0.004,1773597366562,LIMIT,71769.1,FILLED,binance,,,,,
,short,,71938.0,,2026-03-15T17:54:34.667000,,,,hyperliquid,BTC,0.00258,185.6,0x6f1f1af5...,-2.0
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,BTC,0.00207,148.88,0x8bc06855...,-1.61
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,BTC,0.00155,111.48,0x93a98082...,-1.81
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,BTC,0.00027,19.42,0xfe5dcf64...,-0.23
,short,,71921.0,,2026-03-15T17:54:10.540000,,,,hyperliquid,BTC,0.00026,18.7,0xa8e32495...,-0.22
