symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,exchange
BTC,SHORT,77426.49,72091.7,1.074,1773607062444,bybit,,,,,,
BTC,SHORT,36017.35,72034.7,50.0,1773607067018,okx,,,,,,
BTC,SHORT,8389.44,72012.4,11.65,1773607058643,okx,,,,,,
BTC,SHORT,6017.3,71719.9,8.39,1773607056979,okx,,,,,,
BTC,SHORT,3585.99,71719.9,5.0,1773607057117,okx,,,,,,
BTC,SHORT,3460.41,72091.9,0.048,1773607061444,bybit,,,,,,
,short,,71628.0,,2026-03-15T20:33:30.414041+00:00,hyperliquid,BTC,0.04546,3256.20888,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0x504f4f997a233873949ab352051ea3ffabd10b7e,
,short,,71628.0,,2026-03-15T20:33:30.534631+00:00,hyperliquid,BTC,0.04546,3256.20888,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0x504f4f997a233873949ab352051ea3ffabd10b7e,
,short,,71618.0,,2026-03-15T20:35:31.130958+00:00,hyperliquid,BTC,0.04546,3255.75428,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0x504f4f997a233873949ab352051ea3ffabd10b7e,
,short,,71618.0,,2026-03-15T20:35:31.672812+00:00,hyperliquid,BTC,0.04546,3255.75428,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0x504f4f997a233873949ab352051ea3ffabd10b7e,
,short,,71630.0,,2026-03-15T20:36:00.391804+00:00,hyperliquid,BTC,0.04545,3255.5834999999997,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0x504f4f997a233873949ab352051ea3ffabd10b7e,
,short,,71630.0,,2026-03-15T20:36:00.412941+00:00,hyperliquid,BTC,0.04545,3255.5834999999997,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0x504f4f997a233873949ab352051ea3ffabd10b7e,
,short,,71620.0,,2026-03-15T20:32:00.378084+00:00,hyperliquid,BTC,0.04545,3255.129,0xa62b923a112d50d03e1e096bbd53422490dac104,0x504f4f997a233873949ab352051ea3ffabd10b7e,
