symbol,side,value,price,quantity,timestamp,_exchange,exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
BTC,SHORT,172303.21,72184.0,2.387,1773607166444,bybit,,,,,,,,,
BTC,SHORT,77426.49,72091.7,1.074,1773607062444,bybit,,,,,,,,,
BTC,SHORT,36609.46,72208.0,0.507,1773607232944,bybit,,,,,,,,,
BTC,SHORT,36017.35,72034.7,50.0,1773607067018,okx,,,,,,,,,
BTC,SHORT,29949.38,71993.7,0.416,1773607059315,binance,binance,,,,,,,,
BTC,SHORT,29949.379199999996,71993.7,0.416,1773607059315,binance,,LIMIT,71714.02,FILLED,,,,,
BTC,SHORT,12262.03,72129.6,0.17,1773607165943,bybit,,,,,,,,,
BTC,SHORT,10204.28,71861.1,14.2,1773607232801,okx,,,,,,,,,
BTC,SHORT,8654.64,71763.2,12.06,1773607155158,okx,,,,,,,,,
BTC,SHORT,4321.302,72021.7,0.06,1773607075279,binance,,LIMIT,71745.0,FILLED,,,,,
BTC,SHORT,4321.3,72021.7,0.06,1773607075279,binance,binance,,,,,,,,
BTC,SHORT,3460.41,72091.9,0.048,1773607061444,bybit,,,,,,,,,
,short,,71628.0,,2026-03-15T20:33:30.414041+00:00,hyperliquid,,,,,BTC,0.04546,3256.20888,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71628.0,,2026-03-15T20:33:30.534631+00:00,hyperliquid,,,,,BTC,0.04546,3256.20888,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71618.0,,2026-03-15T20:35:31.130958+00:00,hyperliquid,,,,,BTC,0.04546,3255.75428,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71618.0,,2026-03-15T20:35:31.672812+00:00,hyperliquid,,,,,BTC,0.04546,3255.75428,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71630.0,,2026-03-15T20:36:00.391804+00:00,hyperliquid,,,,,BTC,0.04545,3255.5834999999997,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71630.0,,2026-03-15T20:36:00.412941+00:00,hyperliquid,,,,,BTC,0.04545,3255.5834999999997,0x0ddcec3c593a9f577c888a6c9e56e8b0f5fcd048,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71587.0,,2026-03-15T20:34:30.367125+00:00,hyperliquid,,,,,BTC,0.04546,3254.34502,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71587.0,,2026-03-15T20:34:32.697567+00:00,hyperliquid,,,,,BTC,0.04546,3254.34502,0xf5d81a135f756ca16544e53c20fc20643ec3ad53,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71597.0,,2026-03-15T20:35:00.319866+00:00,hyperliquid,,,,,BTC,0.04545,3254.08365,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71597.0,,2026-03-15T20:35:01.298349+00:00,hyperliquid,,,,,BTC,0.04545,3254.08365,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71591.0,,2026-03-15T20:34:00.333234+00:00,hyperliquid,,,,,BTC,0.04545,3253.8109499999996,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71591.0,,2026-03-15T20:34:02.569399+00:00,hyperliquid,,,,,BTC,0.04545,3253.8109499999996,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71630.0,,2026-03-15T20:33:01.590176+00:00,hyperliquid,,,,,BTC,0.04432,3174.6416,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71630.0,,2026-03-15T20:33:01.592277+00:00,hyperliquid,,,,,BTC,0.04432,3174.6416,0xb3a38662575bdf1541013ce987934dba919851ea,0x504f4f997a233873949ab352051ea3ffabd10b7e
BTC,SHORT,3032.64,72205.7,0.042,1773607167945,bybit,,,,,,,,,
,short,,71637.0,,2026-03-15T20:36:30.449518+00:00,hyperliquid,,,,,BTC,0.03782,2709.3113399999997,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71637.0,,2026-03-15T20:36:30.507618+00:00,hyperliquid,,,,,BTC,0.03782,2709.3113399999997,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,0x504f4f997a233873949ab352051ea3ffabd10b7e
BTC,SHORT,2522.84,72081.2,0.035,1773607165150,binance,binance,,,,,,,,
BTC,SHORT,2380.42,72133.8,0.033,1773607165943,bybit,,,,,,,,,
BTC,SHORT,2379.19,72096.7,0.033,1773607166349,binance,binance,,,,,,,,
