symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,address,pnl
BTC,SHORT,112710.4308,72111.6,1.563,1773610370561,LIMIT,71831.16,FILLED,binance,,,,,,
BTC,SHORT,112710.43,72111.6,1.563,1773610370561,,,,binance,binance,,,,,
BTC,SHORT,72226.7,72226.7,1.0,1773610396944,,,,bybit,,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.87724,63126.19,0x796fadea...,-692.32
BTC,SHORT,63126.19,71960.0,0.87724,1773610636339,,,,hyperliquid,hyperliquid,,,,,
,short,,71960.0,,2026-03-15T21:37:13.802000,,,,hyperliquid,,BTC,0.75486,54319.73,0x796fadea...,-595.74
BTC,SHORT,54319.73,71960.0,0.75486,1773610633802,,,,hyperliquid,hyperliquid,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.69479,49997.09,0x796fadea...,-548.33
BTC,SHORT,49997.09,71960.0,0.69479,1773610636339,,,,hyperliquid,hyperliquid,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.46902,33750.68,0x796fadea...,-370.15
BTC,SHORT,33750.68,71960.0,0.46902,1773610636339,,,,hyperliquid,hyperliquid,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.41698,30005.88,0x796fadea...,-329.08
BTC,SHORT,30005.88,71960.0,0.41698,1773610636339,,,,hyperliquid,hyperliquid,,,,,
BTC,SHORT,28946.0647,72184.7,0.401,1773610414072,LIMIT,71900.0,FILLED,binance,,,,,,
BTC,SHORT,28946.06,72184.7,0.401,1773610414072,,,,binance,binance,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.20844,14999.34,0x796fadea...,-164.5
BTC,SHORT,14999.34,71960.0,0.20844,1773610636339,,,,hyperliquid,hyperliquid,,,,,
BTC,SHORT,13632.8913,72131.7,0.189,1773610394119,LIMIT,71857.11,FILLED,binance,,,,,,
BTC,SHORT,13632.89,72131.7,0.189,1773610394119,,,,binance,binance,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.17919,12894.51,0x796fadea...,-141.42
BTC,SHORT,12894.51,71960.0,0.17919,1773610636339,,,,hyperliquid,hyperliquid,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.10411,7491.76,0x796fadea...,-82.16
BTC,SHORT,7491.76,71960.0,0.10411,1773610636339,,,,hyperliquid,hyperliquid,,,,,
BTC,SHORT,7192.28,71922.8,10.0,1773610438353,,,,okx,,,,,,
BTC,SHORT,6576.52,72269.4,0.091,1773610419944,,,,bybit,,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.06922,4981.07,0xac108cd2...,-59.04
BTC,SHORT,4981.07,71960.0,0.06922,1773610636339,,,,hyperliquid,hyperliquid,,,,,
,short,,71960.0,,2026-03-15T21:37:13.802000,,,,hyperliquid,,BTC,0.06715,4832.11,0xc013b553...,-64.67
BTC,SHORT,4832.11,71960.0,0.06715,1773610633802,,,,hyperliquid,hyperliquid,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.066,4749.36,0x796fadea...,-52.09
BTC,SHORT,4749.36,71960.0,0.066,1773610636339,,,,hyperliquid,hyperliquid,,,,,
BTC,SHORT,4117.51,72237.0,0.057,1773610473560,,,,binance,binance,,,,,
BTC,SHORT,3610.31,72206.1,5.0,1773610417390,,,,okx,,,,,,
BTC,SHORT,3033.03,72214.9,0.042,1773610420193,,,,binance,binance,,,,,
BTC,SHORT,3033.0258,72214.9,0.042,1773610420193,LIMIT,71929.2,FILLED,binance,,,,,,
BTC,SHORT,2675.25,72304.0,0.037,1773610446444,,,,bybit,,,,,,
,short,,71960.0,,2026-03-15T21:37:13.802000,,,,hyperliquid,,BTC,0.03646,2623.66,0x6ecfe28d...,-29.64
BTC,SHORT,2623.66,71960.0,0.03646,1773610633802,,,,hyperliquid,hyperliquid,,,,,
BTC,SHORT,2165.91,72196.9,3.0,1773610416691,,,,okx,,,,,,
BTC,SHORT,1588.9214,72223.7,0.022,1773610445078,LIMIT,71938.1,FILLED,binance,,,,,,
BTC,SHORT,1588.92,72223.7,0.022,1773610445078,,,,binance,binance,,,,,
BTC,SHORT,1444.62,72230.9,0.02,1773610456299,,,,binance,binance,,,,,
BTC,SHORT,1298.9106,72161.7,0.018,1773610397808,LIMIT,71880.1,FILLED,binance,,,,,,
BTC,SHORT,1298.91,72161.7,0.018,1773610397808,,,,binance,binance,,,,,
,short,,71960.0,,2026-03-15T21:37:16.339000,,,,hyperliquid,,BTC,0.01516,1090.91,0xac108cd2...,-12.93
BTC,SHORT,1090.91,71960.0,0.01516,1773610636339,,,,hyperliquid,hyperliquid,,,,,
BTC,SHORT,1082.15,72143.3,0.015,1773610396150,,,,binance,binance,,,,,
BTC,SHORT,1082.1495,72143.3,0.015,1773610396150,LIMIT,71876.9,FILLED,binance,,,,,,
BTC,SHORT,793.88,72170.6,0.011,1773610400449,,,,binance,binance,,,,,
BTC,SHORT,793.8766,72170.6,0.011,1773610400449,LIMIT,71884.3,FILLED,binance,,,,,,
BTC,SHORT,748.07,71929.4,1.04,1773610420173,,,,okx,,,,,,
BTC,SHORT,726.22,71902.7,1.01,1773610414953,,,,okx,,,,,,
