symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,liquidated_address,liquidator_address
BTC,SHORT,11621.044399999999,72180.4,0.161,1773613350136,LIMIT,71896.9,FILLED,binance,,,,,,
BTC,SHORT,11621.04,72180.4,0.161,1773613350136,,,,binance,binance,,,,,
,short,,71793.0,,2026-03-15T22:18:31.518541+00:00,,,,hyperliquid,,BTC,0.09091,6526.7016300000005,0x4f965bea84add66023e7ef0458111a1a80e50bb7,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71793.0,,2026-03-15T22:18:31.639534+00:00,,,,hyperliquid,,BTC,0.09091,6526.7016300000005,0x4f965bea84add66023e7ef0458111a1a80e50bb7,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71758.0,,2026-03-15T22:19:01.368879+00:00,,,,hyperliquid,,BTC,0.09091,6523.5197800000005,0xa3652867632777bd42f12561d28bfd2064a11721,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71758.0,,2026-03-15T22:19:01.381485+00:00,,,,hyperliquid,,BTC,0.09091,6523.5197800000005,0xa3652867632777bd42f12561d28bfd2064a11721,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71746.0,,2026-03-15T22:17:31.451882+00:00,,,,hyperliquid,,BTC,0.09091,6522.42886,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71746.0,,2026-03-15T22:17:31.568259+00:00,,,,hyperliquid,,BTC,0.09091,6522.42886,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71738.0,,2026-03-15T22:19:31.287072+00:00,,,,hyperliquid,,BTC,0.09091,6521.70158,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71738.0,,2026-03-15T22:19:31.318949+00:00,,,,hyperliquid,,BTC,0.09091,6521.70158,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71697.0,,2026-03-15T22:17:01.291498+00:00,,,,hyperliquid,,BTC,0.09091,6517.974270000001,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71697.0,,2026-03-15T22:17:01.312352+00:00,,,,hyperliquid,,BTC,0.09091,6517.974270000001,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71832.0,,2026-03-15T22:18:02.097677+00:00,,,,hyperliquid,,BTC,0.08791,6314.75112,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,0x504f4f997a233873949ab352051ea3ffabd10b7e
,short,,71832.0,,2026-03-15T22:18:02.106283+00:00,,,,hyperliquid,,BTC,0.08791,6314.75112,0x2dde8c9b7fd681b0af29975e6e2e7ca2c934958c,0x504f4f997a233873949ab352051ea3ffabd10b7e
,long,,71913.0,,2026-03-15T22:23:12.547299+00:00,,,,hyperliquid,,BTC,0.06451,4639.1076299999995,0x504f4f997a233873949ab352051ea3ffabd10b7e,0x7eed290aa3686bb521d27e22dfe02de479e06e4f
,long,,71913.0,,2026-03-15T22:23:13.139827+00:00,,,,hyperliquid,,BTC,0.06451,4639.1076299999995,0x504f4f997a233873949ab352051ea3ffabd10b7e,0x7eed290aa3686bb521d27e22dfe02de479e06e4f
,long,,71928.0,,2026-03-15T22:25:51.686766+00:00,,,,hyperliquid,,BTC,0.00992,713.52576,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51
,long,,71928.0,,2026-03-15T22:25:51.724593+00:00,,,,hyperliquid,,BTC,0.00992,713.52576,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51
,long,,71913.0,,2026-03-15T22:23:21.350881+00:00,,,,hyperliquid,,BTC,0.00992,713.37696,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51
,long,,71913.0,,2026-03-15T22:23:21.689785+00:00,,,,hyperliquid,,BTC,0.00992,713.37696,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51
,long,,71898.0,,2026-03-15T22:22:50.446054+00:00,,,,hyperliquid,,BTC,0.00992,713.22816,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7
,long,,71898.0,,2026-03-15T22:22:51.232258+00:00,,,,hyperliquid,,BTC,0.00992,713.22816,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xf58b673c1633ccef0ac58263cdc95ed80f817fc7
,long,,71881.0,,2026-03-15T22:23:52.309845+00:00,,,,hyperliquid,,BTC,0.00992,713.05952,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x6e8bc7cd0978397b06a14af2a8c31f5daeffea79
,long,,71881.0,,2026-03-15T22:23:54.337002+00:00,,,,hyperliquid,,BTC,0.00992,713.05952,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x6e8bc7cd0978397b06a14af2a8c31f5daeffea79
,long,,71879.0,,2026-03-15T22:21:51.779861+00:00,,,,hyperliquid,,BTC,0.00992,713.03968,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51
,long,,71879.0,,2026-03-15T22:21:52.868657+00:00,,,,hyperliquid,,BTC,0.00992,713.03968,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xdfd50d93227ad4f896e1ed00c75aa422950a4a51
,long,,71874.0,,2026-03-15T22:21:22.316953+00:00,,,,hyperliquid,,BTC,0.00992,712.99008,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xb756c89e73c8711a881c009e10f79b1566f80cdb
,long,,71874.0,,2026-03-15T22:21:23.401673+00:00,,,,hyperliquid,,BTC,0.00992,712.99008,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xb756c89e73c8711a881c009e10f79b1566f80cdb
,long,,71868.0,,2026-03-15T22:24:51.372684+00:00,,,,hyperliquid,,BTC,0.00992,712.93056,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90
,long,,71868.0,,2026-03-15T22:24:52.707636+00:00,,,,hyperliquid,,BTC,0.00992,712.93056,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x35c3bbd9db12d846ded8430cfb80cf3378fa8c90
,long,,71909.0,,2026-03-15T22:26:21.682155+00:00,,,,hyperliquid,,BTC,0.00991,712.61819,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71909.0,,2026-03-15T22:26:24.035091+00:00,,,,hyperliquid,,BTC,0.00991,712.61819,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71805.0,,2026-03-15T22:17:52.472358+00:00,,,,hyperliquid,,BTC,0.00992,712.3056,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x33ad48ed92e3e91a98278f0f7456eae6eafa516e
,long,,71805.0,,2026-03-15T22:17:54.770586+00:00,,,,hyperliquid,,BTC,0.00992,712.3056,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x33ad48ed92e3e91a98278f0f7456eae6eafa516e
,long,,71871.0,,2026-03-15T22:22:21.414988+00:00,,,,hyperliquid,,BTC,0.00991,712.24161,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71871.0,,2026-03-15T22:22:21.542435+00:00,,,,hyperliquid,,BTC,0.00991,712.24161,0x7050a9abd4f06372247d19c39e5d718636f35fff,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,71798.0,,2026-03-15T22:18:21.363226+00:00,,,,hyperliquid,,BTC,0.00992,712.23616,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xb3a38662575bdf1541013ce987934dba919851ea
,long,,71798.0,,2026-03-15T22:18:21.382130+00:00,,,,hyperliquid,,BTC,0.00992,712.23616,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xb3a38662575bdf1541013ce987934dba919851ea
,long,,71752.0,,2026-03-15T22:19:51.719795+00:00,,,,hyperliquid,,BTC,0.00992,711.77984,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,71752.0,,2026-03-15T22:19:54.807102+00:00,,,,hyperliquid,,BTC,0.00992,711.77984,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,71742.0,,2026-03-15T22:17:21.839195+00:00,,,,hyperliquid,,BTC,0.00992,711.68064,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xc8264ebc379e26946e7d31ae4746c27182849755
,long,,71742.0,,2026-03-15T22:17:22.409898+00:00,,,,hyperliquid,,BTC,0.00992,711.68064,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xc8264ebc379e26946e7d31ae4746c27182849755
,long,,71739.0,,2026-03-15T22:19:21.756062+00:00,,,,hyperliquid,,BTC,0.00992,711.65088,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,71739.0,,2026-03-15T22:19:24.587126+00:00,,,,hyperliquid,,BTC,0.00992,711.65088,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xa9b91ec3cd32ba4e5841b2bf6ec5d2c222e60243
,long,,71779.0,,2026-03-15T22:18:51.366029+00:00,,,,hyperliquid,,BTC,0.00991,711.32989,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xe3b3482482899b4890ec5a2093cba2a558d0c14f
,long,,71779.0,,2026-03-15T22:18:51.420951+00:00,,,,hyperliquid,,BTC,0.00991,711.32989,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xe3b3482482899b4890ec5a2093cba2a558d0c14f
,long,,71763.0,,2026-03-15T22:20:23.020263+00:00,,,,hyperliquid,,BTC,0.00991,711.17133,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
,long,,71763.0,,2026-03-15T22:20:23.026705+00:00,,,,hyperliquid,,BTC,0.00991,711.17133,0x7050a9abd4f06372247d19c39e5d718636f35fff,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00
