exchange,symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl
hyperliquid,BTC,SHORT,40497.72,72298.0,0.56015,1773614396060,hyperliquid,,,,,
hyperliquid,BTC,SHORT,25897.87,72298.0,0.35821,1773614396060,hyperliquid,,,,,
hyperliquid,BTC,SHORT,14997.5,72298.0,0.20744,1773614396060,hyperliquid,,,,,
,BTC,SHORT,14446.8,72234.0,20.0,1773614349054,okx,,,,,
,,short,,72266.0,,2026-03-15T22:39:46.672000,hyperliquid,BTC,0.17352,12539.6,0x0c9370d9...,-141.96
hyperliquid,BTC,SHORT,12539.6,72266.0,0.17352,1773614386672,hyperliquid,,,,,
hyperliquid,BTC,SHORT,10546.11,72298.0,0.14587,1773614396060,hyperliquid,,,,,
bybit,BTC,SHORT,9945.42,72594.3,0.137,1773614349444,bybit,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.12402,8964.91,0x76ac506a...,-107.97
hyperliquid,BTC,SHORT,8964.91,72286.0,0.12402,1773614393127,hyperliquid,,,,,
bybit,BTC,SHORT,7335.8,72631.7,0.101,1773614395444,bybit,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.10083,7288.6,0x2c9e8373...,-89.44
hyperliquid,BTC,SHORT,7288.6,72286.0,0.10083,1773614393127,hyperliquid,,,,,
,BTC,SHORT,7218.04,72180.4,10.0,1773614336505,okx,,,,,
hyperliquid,BTC,SHORT,6378.85,72298.0,0.08823,1773614396060,hyperliquid,,,,,
,BTC,SHORT,6278.7,72252.0,8.69,1773614350049,okx,,,,,
,BTC,SHORT,5730.57,72538.8,0.079,1773614339443,bybit,,,,,
bybit,BTC,SHORT,5082.43,72606.2,0.07,1773614350444,bybit,,,,,
,BTC,SHORT,4353.04,72550.6,0.06,1773614342944,bybit,,,,,
,BTC,SHORT,2974.0,72536.7,0.041,1773614339443,bybit,,,,,
bybit,BTC,SHORT,2687.07,72623.5,0.037,1773614384444,bybit,,,,,
bybit,BTC,SHORT,2685.03,72568.3,0.037,1773614349944,bybit,,,,,
hyperliquid,BTC,SHORT,2526.82,72298.0,0.03495,1773614396060,hyperliquid,,,,,
,BTC,SHORT,2179.25,72160.7,3.02,1773614334362,okx,,,,,
hyperliquid,BTC,SHORT,2136.41,72298.0,0.02955,1773614396060,hyperliquid,,,,,
,BTC,SHORT,1581.78,72227.3,2.19,1773614348821,okx,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.02096,1515.11,0x887c6156...,-17.42
hyperliquid,BTC,SHORT,1515.11,72286.0,0.02096,1773614393127,hyperliquid,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.02074,1499.21,0x76ac506a...,-18.06
hyperliquid,BTC,SHORT,1499.21,72286.0,0.02074,1773614393127,hyperliquid,,,,,
,,short,,72255.0,,2026-03-15T22:39:09.828000,hyperliquid,BTC,0.01697,1226.17,0x422effdc...,-31.21
hyperliquid,BTC,SHORT,1226.17,72255.0,0.01697,1773614349828,hyperliquid,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.01512,1092.96,0xd5e2c278...,-12.64
hyperliquid,BTC,SHORT,1092.96,72286.0,0.01512,1773614393127,hyperliquid,,,,,
,BTC,SHORT,967.05,72168.2,1.34,1773614335107,okx,,,,,
,BTC,SHORT,960.23,72197.8,1.33,1773614340741,okx,,,,,
bybit,BTC,SHORT,798.41,72582.5,0.011,1773614349944,bybit,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.00993,717.8,0x76ac506a...,-8.65
hyperliquid,BTC,SHORT,717.8,72286.0,0.00993,1773614393127,hyperliquid,,,,,
,BTC,SHORT,652.48,72497.3,0.009,1773614333444,bybit,,,,,
hyperliquid,BTC,SHORT,574.05,72298.0,0.00794,1773614396060,hyperliquid,,,,,
,BTC,SHORT,435.31,72550.9,0.006,1773614348446,bybit,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.00559,404.08,0xbf1abb2c...,-4.67
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.00559,404.08,0x89410818...,-4.67
hyperliquid,BTC,SHORT,404.08,72286.0,0.00559,1773614393127,hyperliquid,,,,,
hyperliquid,BTC,SHORT,404.08,72286.0,0.00559,1773614393127,hyperliquid,,,,,
hyperliquid,BTC,SHORT,402.71,72299.0,0.00557,1773614396060,hyperliquid,,,,,
hyperliquid,BTC,SHORT,215.45,72298.0,0.00298,1773614396060,hyperliquid,,,,,
hyperliquid,BTC,SHORT,208.22,72298.0,0.00288,1773614396060,hyperliquid,,,,,
hyperliquid,BTC,SHORT,149.66,72299.0,0.00207,1773614396060,hyperliquid,,,,,
bybit,BTC,SHORT,145.13,72566.9,0.002,1773614349944,bybit,,,,,
,BTC,SHORT,108.82,72546.2,0.15,1773614364546,okx,,,,,
okx,BTC,SHORT,72.55,72551.1,0.1,1773614383579,okx,,,,,
,,short,,72286.0,,2026-03-15T22:39:53.127000,hyperliquid,BTC,0.00054,39.03,0xca254e8f...,-0.49
hyperliquid,BTC,SHORT,39.03,72286.0,0.00054,1773614393127,hyperliquid,,,,,
hyperliquid,BTC,SHORT,13.74,72299.0,0.00019,1773614396060,hyperliquid,,,,,
hyperliquid,BTC,SHORT,12.29,72299.0,0.00017,1773614396060,hyperliquid,,,,,
