exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
hyperliquid,BTC,SHORT,570636.19,73106.0,7.8056,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,74981.9,73106.0,1.02566,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,72423.83,73182.0,0.98964,1773615995073,hyperliquid,,,,,,,,
,BTC,SHORT,50293.84,73529.0,0.684,1773615995944,bybit,,,,,,,,
hyperliquid,BTC,SHORT,43289.09,73100.0,0.59219,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,31952.59,73103.0,0.43709,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,31001.71,73100.0,0.4241,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,26960.74,73100.0,0.36882,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,25905.91,73100.0,0.35439,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,24133.42,73105.0,0.33012,1773615973112,hyperliquid,,,,,,,,
,BTC,SHORT,24034.24,73499.2,0.327,1773615994467,bybit,,,,,,,,
hyperliquid,BTC,SHORT,23616.33,73102.0,0.32306,1773615973112,hyperliquid,,,,,,,,
,BTC,SHORT,23302.8,73510.4,0.317,1773615995444,bybit,,,,,,,,
,BTC,SHORT,21968.1,73227.0,0.3,1773615883720,binance,LIMIT,72925.3,FILLED,,,,,
hyperliquid,BTC,SHORT,21303.42,73185.0,0.29109,1773615995073,hyperliquid,,,,,,,,
,BTC,SHORT,20053.35,73455.5,0.273,1773615984944,bybit,,,,,,,,
hyperliquid,BTC,SHORT,20021.54,73106.0,0.27387,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,20019.9,73100.0,0.27387,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,18851.76,73100.0,0.25789,1773615973112,hyperliquid,,,,,,,,
,,short,,73159.0,,2026-03-15T23:06:37.591154+00:00,hyperliquid,,,,BTC,0.22749,16642.94091,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,73159.0,,2026-03-15T23:06:37.596183+00:00,hyperliquid,,,,BTC,0.22749,16642.94091,0xf9109ada2f73c62e9889b45453065f0d99260a2d,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72983.0,,2026-03-15T23:06:08.254523+00:00,hyperliquid,,,,BTC,0.22749,16602.90267,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72983.0,,2026-03-15T23:06:08.298044+00:00,hyperliquid,,,,BTC,0.22749,16602.90267,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72942.0,,2026-03-15T23:05:37.315977+00:00,hyperliquid,,,,BTC,0.22748,16592.846159999997,0xa62b923a112d50d03e1e096bbd53422490dac104,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72942.0,,2026-03-15T23:05:38.898880+00:00,hyperliquid,,,,BTC,0.22748,16592.846159999997,0xa62b923a112d50d03e1e096bbd53422490dac104,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72909.0,,2026-03-15T23:05:07.815468+00:00,hyperliquid,,,,BTC,0.22749,16586.06841,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72909.0,,2026-03-15T23:05:10.046265+00:00,hyperliquid,,,,BTC,0.22749,16586.06841,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72855.0,,2026-03-15T23:02:37.389315+00:00,hyperliquid,,,,BTC,0.22748,16573.055399999997,0xb3a38662575bdf1541013ce987934dba919851ea,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72855.0,,2026-03-15T23:02:38.078199+00:00,hyperliquid,,,,BTC,0.22748,16573.055399999997,0xb3a38662575bdf1541013ce987934dba919851ea,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72842.0,,2026-03-15T23:03:07.459588+00:00,hyperliquid,,,,BTC,0.22749,16570.82658,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72842.0,,2026-03-15T23:03:07.513012+00:00,hyperliquid,,,,BTC,0.22749,16570.82658,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72842.0,,2026-03-15T23:03:14.584601+00:00,hyperliquid,,,,BTC,0.22749,16570.82658,0x424f58c01b5440ebc2382ac01b7a3597b12076ff,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72835.0,,2026-03-15T23:02:07.642227+00:00,hyperliquid,,,,BTC,0.22749,16569.23415,0xaf2ac71f62f341e5823d6985492409e92c940447,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72835.0,,2026-03-15T23:02:07.648472+00:00,hyperliquid,,,,BTC,0.22749,16569.23415,0xaf2ac71f62f341e5823d6985492409e92c940447,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72837.0,,2026-03-15T23:01:37.306754+00:00,hyperliquid,,,,BTC,0.22748,16568.960759999998,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72837.0,,2026-03-15T23:01:37.308340+00:00,hyperliquid,,,,BTC,0.22748,16568.960759999998,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72803.0,,2026-03-15T23:00:07.450731+00:00,hyperliquid,,,,BTC,0.22749,16561.95447,0x362c5006ed0a405c35df4a138cb38d891f1a1a20,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72803.0,,2026-03-15T23:00:09.764920+00:00,hyperliquid,,,,BTC,0.22749,16561.95447,0x362c5006ed0a405c35df4a138cb38d891f1a1a20,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72766.0,,2026-03-15T23:00:37.856728+00:00,hyperliquid,,,,BTC,0.22748,16552.80968,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72766.0,,2026-03-15T23:00:38.882587+00:00,hyperliquid,,,,BTC,0.22748,16552.80968,0x14ecb8b25e270b31cc270e3dd3ee220dd5dce16e,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72751.0,,2026-03-15T23:01:08.975328+00:00,hyperliquid,,,,BTC,0.22749,16550.12499,0x1a6f24091a055890ecb411129977668ab55473b4,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72751.0,,2026-03-15T23:01:10.049347+00:00,hyperliquid,,,,BTC,0.22749,16550.12499,0x1a6f24091a055890ecb411129977668ab55473b4,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72702.0,,2026-03-15T22:59:37.412592+00:00,hyperliquid,,,,BTC,0.22748,16538.250959999998,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72702.0,,2026-03-15T22:59:38.705988+00:00,hyperliquid,,,,BTC,0.22748,16538.250959999998,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x0c684f333a7e120bce61383da670bbb0157e82d0
hyperliquid,BTC,SHORT,16494.91,73106.0,0.22563,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,16451.26,73185.0,0.22479,1773615995073,hyperliquid,,,,,,,,
,,short,,72861.0,,2026-03-15T23:03:37.409168+00:00,hyperliquid,,,,BTC,0.21893,15951.45873,0xb3a38662575bdf1541013ce987934dba919851ea,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72861.0,,2026-03-15T23:03:37.417016+00:00,hyperliquid,,,,BTC,0.21893,15951.45873,0xb3a38662575bdf1541013ce987934dba919851ea,0x0c684f333a7e120bce61383da670bbb0157e82d0
hyperliquid,BTC,SHORT,14997.2,73100.0,0.20516,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,13303.47,73100.0,0.18199,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,12819.82,73185.0,0.17517,1773615995073,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,12132.41,73100.0,0.16597,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,12116.33,73100.0,0.16575,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,11943.08,73100.0,0.16338,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,11696.0,73100.0,0.16,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,11453.3,73184.0,0.1565,1773615995073,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,11353.21,73105.0,0.1553,1773615973112,hyperliquid,,,,,,,,
,,short,,72922.0,,2026-03-15T23:04:08.757947+00:00,hyperliquid,,,,BTC,0.1539,11222.695800000001,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
,,short,,72922.0,,2026-03-15T23:04:10.936829+00:00,hyperliquid,,,,BTC,0.1539,11222.695800000001,0x2cffce91b4e0c81df18726ff66b31b2b1545e1ad,0x0c684f333a7e120bce61383da670bbb0157e82d0
hyperliquid,BTC,SHORT,11151.4,73100.0,0.15255,1773615973112,hyperliquid,,,,,,,,
,BTC,SHORT,11102.73,73528.0,0.151,1773615995444,bybit,,,,,,,,
hyperliquid,BTC,SHORT,10614.27,73101.0,0.1452,1773615973112,hyperliquid,,,,,,,,
,BTC,SHORT,10278.35,73416.8,0.14,1773615971444,bybit,,,,,,,,
hyperliquid,BTC,SHORT,10001.54,73100.0,0.13682,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,10001.54,73100.0,0.13682,1773615973112,hyperliquid,,,,,,,,
hyperliquid,BTC,SHORT,10000.08,73100.0,0.1368,1773615973112,hyperliquid,,,,,,,,
,BTC,SHORT,9911.17,73416.1,0.135,1773615970944,bybit,,,,,,,,
hyperliquid,BTC,SHORT,9034.43,73100.0,0.12359,1773615973112,hyperliquid,,,,,,,,
,,short,,72900.0,,2026-03-15T23:04:38.459538+00:00,hyperliquid,,,,BTC,0.12051,8785.179,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x0c684f333a7e120bce61383da670bbb0157e82d0
