timestamp,coin,side,size,price,value_usd,address,pnl,_exchange,symbol,value,quantity,order_type,avg_price,order_status,exchange
2026-03-15T23:06:35.073000,BTC,short,0.98964,73182.0,72423.83,0x071e8760...,-1351.55,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.29109,73185.0,21303.42,0x4fe9e146...,-604.83,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.22479,73185.0,16451.26,0xb88b278c...,-453.78,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.17517,73185.0,12819.82,0x57adcb86...,-156.6,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.1565,73184.0,11453.3,0x071e8760...,-214.05,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.11105,73185.0,8127.19,0x19a6f7e4...,-203.11,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.08016,73185.0,5866.51,0x19a6f7e4...,-146.61,hyperliquid,,,,,,,
2026-03-15T23:06:37.980000,BTC,short,0.07364,73152.0,5386.91,0xc0f3a698...,-83.07,hyperliquid,,,,,,,
1773616128256,,LONG,,72627.3,,,,binance,BTC,3486.1104,0.048,LIMIT,72910.0,FILLED,
1773616128256,,LONG,,72627.3,,,,binance,BTC,3486.11,0.048,,,,binance
2026-03-15T23:06:35.073000,BTC,short,0.04119,73185.0,3014.49,0x4397924f...,-61.33,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.03792,73182.0,2775.06,0x05db17cf...,-53.14,hyperliquid,,,,,,,
1773616142444,,SHORT,,73324.6,,,,bybit,BTC,2713.01,0.037,,,,
2026-03-15T23:06:35.073000,BTC,short,0.02956,73185.0,2163.35,0x57adcb86...,-26.43,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.02858,73185.0,2091.63,0xbe4b9ae2...,-59.66,hyperliquid,,,,,,,
1773616141696,,SHORT,,72974.5,,,,okx,BTC,1525.17,2.09,,,,
2026-03-15T23:06:35.073000,BTC,short,0.01975,73184.0,1445.38,0x19a6f7e4...,-36.1,hyperliquid,,,,,,,
1773616146048,,SHORT,,72987.9,,,,okx,BTC,1372.17,1.88,,,,
1773616142378,,SHORT,,73248.1,,,,binance,BTC,732.4810000000001,0.01,LIMIT,72966.1,FILLED,
1773616142378,,SHORT,,73248.1,,,,binance,BTC,732.48,0.01,,,,binance
2026-03-15T23:06:37.980000,BTC,short,0.00939,73152.0,686.9,0xe454171a...,-8.11,hyperliquid,,,,,,,
1773616309358,,SHORT,,72995.2,,,,okx,BTC,481.77,0.66,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00642,73185.0,469.85,0x19a6f7e4...,-11.74,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00391,73188.0,286.17,0xbe4b9ae2...,-8.17,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00352,73187.0,257.62,0xbe4b9ae2...,-7.35,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00309,73184.0,226.14,0x071e8760...,-4.23,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00303,73185.0,221.75,0x19a6f7e4...,-5.54,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.003,73186.0,219.56,0xbe4b9ae2...,-6.26,hyperliquid,,,,,,,
1773616140807,,SHORT,,72950.0,,,,okx,BTC,182.38,0.25,,,,
2026-03-15T23:06:37.980000,BTC,short,0.00238,73152.0,174.1,0xc0f3a698...,-2.68,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00231,73184.0,169.06,0x071e8760...,-3.16,hyperliquid,,,,,,,
1773616144383,,LONG,,72678.12,,,,binance,BTC,145.36,0.002,,,,binance
1773616144383,,LONG,,72678.12,,,,binance,BTC,145.35623999999999,0.002,LIMIT,72981.9,FILLED,
1773616131098,,LONG,,72613.4,,,,binance,BTC,145.23,0.002,,,,binance
1773616131098,,LONG,,72613.4,,,,binance,BTC,145.2268,0.002,LIMIT,72878.0,FILLED,
2026-03-15T23:06:35.073000,BTC,short,0.00145,73182.0,106.11,0x00767cb4...,-3.71,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00133,73184.0,97.33,0x071e8760...,-1.82,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00079,73188.0,57.82,0xdc9703d2...,-1.95,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00071,73184.0,51.96,0x071e8760...,-0.97,hyperliquid,,,,,,,
1773616308885,,SHORT,,72992.0,,,,okx,BTC,29.2,0.04,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00017,73185.0,12.44,0x19a6f7e4...,-0.31,hyperliquid,,,,,,,
2026-03-15T23:06:35.073000,BTC,short,0.00016,73185.0,11.71,0x19a6f7e4...,-0.29,hyperliquid,,,,,,,
