symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,order_type,avg_price,order_status
BTC,LONG,12998.8,72135.4,18.02,1773621628008,okx,,,,,,,,
,short,,72510.0,,2026-03-16T00:44:18.327845+00:00,hyperliquid,BTC,0.06253,4534.0503,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5,,,
,short,,72510.0,,2026-03-16T00:44:18.392050+00:00,hyperliquid,BTC,0.06253,4534.0503,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5,,,
BTC,LONG,4329.47,72157.9,6.0,1773621627015,okx,,,,,,,,
,short,,72511.0,,2026-03-16T00:43:46.795641+00:00,hyperliquid,BTC,0.05319,3856.86009,0xa62b923a112d50d03e1e096bbd53422490dac104,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5,,,
,short,,72511.0,,2026-03-16T00:43:46.808181+00:00,hyperliquid,BTC,0.05319,3856.86009,0xa62b923a112d50d03e1e096bbd53422490dac104,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5,,,
BTC,LONG,3750.7912,72130.6,0.052,1773621630604,binance,,,,,,LIMIT,72423.3,FILLED
,short,,72511.0,,2026-03-16T00:43:46.794581+00:00,hyperliquid,BTC,0.02884,2091.21724,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5,,,
,short,,72511.0,,2026-03-16T00:43:46.807407+00:00,hyperliquid,BTC,0.02884,2091.21724,0xa775d1bd91ee2cc4cae6113e5fd9c0c17b355277,0x1ee7a73cb5b0b6b056d8138085b2009e6a6bedf5,,,
BTC,LONG,1572.08,72446.2,2.17,1773621626960,okx,,,,,,,,
BTC,LONG,1165.94,72418.9,1.61,1773621629621,okx,,,,,,,,
BTC,LONG,1082.538,72169.2,0.015,1773621622088,binance,,,,,,LIMIT,72456.0,FILLED
BTC,LONG,720.75,72075.5,0.01,1773621627944,bybit,,,,,,,,
BTC,LONG,648.88,72097.7,0.009,1773621622444,bybit,,,,,,,,
,short,,72627.0,,2026-03-16T00:36:06.534219+00:00,hyperliquid,BTC,0.00829,602.0778300000001,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72627.0,,2026-03-16T00:36:08.109315+00:00,hyperliquid,BTC,0.00829,602.0778300000001,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72595.0,,2026-03-16T00:35:35.965889+00:00,hyperliquid,BTC,0.00829,601.81255,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72595.0,,2026-03-16T00:35:36.046800+00:00,hyperliquid,BTC,0.00829,601.81255,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72595.0,,2026-03-16T00:36:34.538377+00:00,hyperliquid,BTC,0.00829,601.81255,0x2f725e38693f5ffa259d7131747c063da2200c38,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72595.0,,2026-03-16T00:36:36.943698+00:00,hyperliquid,BTC,0.00829,601.81255,0x2f725e38693f5ffa259d7131747c063da2200c38,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72592.0,,2026-03-16T00:38:36.009106+00:00,hyperliquid,BTC,0.00829,601.78768,0xe29d84a6f37858d7f8017be454ee35726511e525,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72592.0,,2026-03-16T00:38:36.588539+00:00,hyperliquid,BTC,0.00829,601.78768,0xe29d84a6f37858d7f8017be454ee35726511e525,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72558.0,,2026-03-16T00:38:04.615005+00:00,hyperliquid,BTC,0.00829,601.5058200000001,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72558.0,,2026-03-16T00:38:07.201680+00:00,hyperliquid,BTC,0.00829,601.5058200000001,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72541.0,,2026-03-16T00:39:34.880705+00:00,hyperliquid,BTC,0.00829,601.3648900000001,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72541.0,,2026-03-16T00:39:35.543197+00:00,hyperliquid,BTC,0.00829,601.3648900000001,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72628.0,,2026-03-16T00:37:04.753979+00:00,hyperliquid,BTC,0.00828,601.35984,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72628.0,,2026-03-16T00:37:05.092308+00:00,hyperliquid,BTC,0.00828,601.35984,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72527.0,,2026-03-16T00:43:05.042603+00:00,hyperliquid,BTC,0.00829,601.24883,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
,short,,72527.0,,2026-03-16T00:43:06.136614+00:00,hyperliquid,BTC,0.00829,601.24883,0xe3b3482482899b4890ec5a2093cba2a558d0c14f,0xe1a6d530066aaf448b7afa58e31ad12be0bc9fb9,,,
