symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange
BTC,LONG,63994.25280000001,72065.6,0.888,1773623056333,LIMIT,72354.2,FILLED,binance,
BTC,LONG,63994.25,72065.6,0.888,1773623056333,,,,binance,binance
BTC,LONG,17653.034,72053.2,0.245,1773623068147,LIMIT,72329.8,FILLED,binance,
BTC,LONG,17653.03,72053.2,0.245,1773623068147,,,,binance,binance
BTC,LONG,12311.83,71999.0,0.171,1773623055461,,,,bybit,
BTC,LONG,9591.05,72330.7,13.26,1773623068447,,,,okx,
BTC,LONG,6480.64,72007.1,0.09,1773623054944,,,,bybit,
BTC,LONG,6362.78,72058.7,8.83,1773623056814,,,,okx,
BTC,LONG,1801.5425,72061.7,0.025,1773623067129,LIMIT,72335.0,FILLED,binance,
BTC,LONG,1801.54,72061.7,0.025,1773623067129,,,,binance,binance
BTC,LONG,1296.73,72040.8,0.018,1773623054944,,,,bybit,
BTC,LONG,1153.2944,72080.9,0.016,1773623055136,LIMIT,72350.8,FILLED,binance,
BTC,LONG,1153.29,72080.9,0.016,1773623055136,,,,binance,binance
BTC,LONG,499.19,72345.9,0.69,1773623066094,,,,okx,
BTC,LONG,144.0,71998.5,0.002,1773623054944,,,,bybit,
