symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,liquidated_address,liquidator_address
BTC,LONG,84005.27,73546.9,114.22,1773632898118,okx,,,,,,,,
BTC,LONG,5429.6242,73373.3,0.074,1773632759799,binance,LIMIT,73666.3,FILLED,,,,,
BTC,LONG,4638.19,73273.1,6.33,1773632896051,okx,,,,,,,,
BTC,LONG,2921.9,73230.5,3.99,1773632901119,okx,,,,,,,,
BTC,LONG,2640.96,73359.9,3.6,1773632762704,okx,,,,,,,,
BTC,LONG,2397.05,73529.2,3.26,1773632900992,okx,,,,,,,,
BTC,LONG,2052.7752,73313.4,0.028,1773632771528,binance,LIMIT,73589.3,FILLED,,,,,
BTC,LONG,1979.5185,73315.5,0.027,1773632768711,binance,LIMIT,73616.0,FILLED,,,,,
BTC,LONG,1289.03,73240.5,1.76,1773632899237,okx,,,,,,,,
BTC,LONG,1244.17,73186.2,0.017,1773632897443,bybit,,,,,,,,
BTC,LONG,806.7058999999999,73336.9,0.011,1773632765293,binance,LIMIT,73619.6,FILLED,,,,,
BTC,LONG,732.05,73205.2,0.01,1773632894443,bybit,,,,,,,,
BTC,LONG,658.63,73180.8,0.009,1773632899944,bybit,,,,,,,,
,long,,73799.0,,2026-03-16T03:41:24.303133+00:00,hyperliquid,,,,BTC,0.00631,465.67168999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2cb562384765bea1612ceb60007e315f904fbe86
,long,,73799.0,,2026-03-16T03:41:24.317069+00:00,hyperliquid,,,,BTC,0.00631,465.67168999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x2cb562384765bea1612ceb60007e315f904fbe86
,long,,73720.0,,2026-03-16T03:44:24.268743+00:00,hyperliquid,,,,BTC,0.00606,446.7432,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,73720.0,,2026-03-16T03:44:24.278290+00:00,hyperliquid,,,,BTC,0.00606,446.7432,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459
,long,,73600.0,,2026-03-16T03:46:26.384454+00:00,hyperliquid,,,,BTC,0.00601,442.33599999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea
,long,,73600.0,,2026-03-16T03:46:27.444830+00:00,hyperliquid,,,,BTC,0.00601,442.33599999999996,0xfd81b27d9796a1ba7d7171ea70010c9befb2a62a,0xb3a38662575bdf1541013ce987934dba919851ea
