symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status
BTC,SHORT,325837.4,74460.1,4.376,1773636856943,bybit,,,,,,,,
BTC,SHORT,64191.68,74554.8,0.861,1773636881943,bybit,,,,,,,,
BTC,SHORT,45880.17,74480.8,0.616,1773636856944,bybit,,,,,,,,
BTC,SHORT,35335.61,74547.7,0.474,1773636881443,bybit,,,,,,,,
BTC,SHORT,30075.98,74445.5,40.4,1773636860053,okx,,,,,,,,
BTC,SHORT,21034.66,74591.0,0.282,1773636888944,bybit,,,,,,,,
BTC,SHORT,20316.31,74500.6,27.27,1773636883420,okx,,,,,,,,
BTC,SHORT,20038.86,74493.9,0.269,1773636856443,bybit,,,,,,,,
BTC,SHORT,15281.4,74543.4,0.205,1773636881943,bybit,,,,,,,,
BTC,SHORT,14907.7,74538.5,0.2,1773636881943,bybit,,,,,,,,
BTC,SHORT,13485.28,74504.3,0.181,1773636856944,bybit,,,,,,,,
BTC,SHORT,9678.83,74452.5,0.13,1773636856443,bybit,,,,,,,,
BTC,SHORT,7309.81,74589.9,0.098,1773636889444,bybit,,,,,,,,
BTC,SHORT,6775.01,74450.7,0.091,1773636856944,bybit,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.0861,6405.41,0xbc241ccf...,-121.14,,,
BTC,SHORT,5098.21,74209.7,6.87,1773636885043,okx,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.05276,3925.08,0xd1a59e86...,-517.57,,,
BTC,SHORT,3054.71,74505.2,0.041,1773636857444,bybit,,,,,,,,
BTC,SHORT,2984.2,74604.9,0.04,1773636889444,bybit,,,,,,,,
BTC,SHORT,2980.46,74511.6,0.04,1773636860443,bybit,,,,,,,,
BTC,SHORT,2751.18,74356.1,0.037,1773636784944,bybit,,,,,,,,
BTC,SHORT,2682.58,74516.0,0.036,1773636860443,bybit,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.0287,2135.14,0xc49cb604...,-19.32,,,
,short,,74394.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.025,1859.85,0x947925da...,-81.3,,,
BTC,SHORT,1715.79,74599.7,0.023,1773636889444,bybit,,,,,,,,
BTC,SHORT,1492.07,74603.5,0.02,1773636889444,bybit,,,,,,,,
BTC,SHORT,1491.95,74597.5,0.02,1773636889444,bybit,,,,,,,,
BTC,SHORT,1340.54,74474.6,0.018,1773636855944,bybit,,,,,,,,
BTC,SHORT,1265.4171000000001,74436.3,0.017,1773636858756,binance,,,,,,LIMIT,74146.7,FILLED
BTC,SHORT,1193.32,74582.6,0.016,1773636888944,bybit,,,,,,,,
BTC,SHORT,1043.08,74505.5,0.014,1773636857944,bybit,,,,,,,,
BTC,SHORT,969.76,74597.1,0.013,1773636889444,bybit,,,,,,,,
BTC,SHORT,967.78,74444.4,0.013,1773636856944,bybit,,,,,,,,
BTC,SHORT,955.03,74033.7,1.29,1773636855082,okx,,,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.01277,950.02,0xbbdb1acc...,-25.12,,,
BTC,SHORT,938.07,74450.2,1.26,1773636875833,okx,,,,,,,,
BTC,SHORT,756.72,74188.2,1.02,1773636881046,okx,,,,,,,,
BTC,SHORT,671.49,74609.6,0.009,1773636890944,bybit,,,,,,,,
BTC,SHORT,447.47,74577.5,0.006,1773636885443,bybit,,,,,,,,
BTC,SHORT,446.74,74456.0,0.006,1773636855944,bybit,,,,,,,,
,short,,74394.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.00551,409.91,0x947925da...,-17.92,,,
BTC,SHORT,373.08,74615.6,0.005,1773636890944,bybit,,,,,,,,
BTC,SHORT,372.7,74540.2,0.005,1773636881443,bybit,,,,,,,,
BTC,SHORT,371.93550000000005,74387.1,0.005,1773636857541,binance,,,,,,LIMIT,74142.3,FILLED
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.00498,370.49,0xb13b09de...,-14.5,,,
BTC,SHORT,348.23,74092.1,0.47,1773636856075,okx,,,,,,,,
BTC,SHORT,333.64,74143.1,0.45,1773636858275,okx,,,,,,,,
BTC,SHORT,298.3,74576.1,0.004,1773636886943,bybit,,,,,,,,
BTC,SHORT,298.29,74572.1,0.004,1773636885443,bybit,,,,,,,,
BTC,SHORT,223.78,74593.3,0.003,1773636888944,bybit,,,,,,,,
BTC,SHORT,223.0287,74342.9,0.003,1773636856525,binance,,,,,,LIMIT,74142.0,FILLED
,long,,74364.0,,2026-03-16T04:55:05.098000,hyperliquid,BTC,0.00287,213.42,0x777e61dc...,8.56,,,
BTC,SHORT,207.64,74157.6,0.28,1773636876599,okx,,,,,,,,
BTC,SHORT,178.64,74434.3,0.24,1773636857827,okx,,,,,,,,
BTC,SHORT,149.07,74534.6,0.002,1773636881443,bybit,,,,,,,,
BTC,SHORT,149.03,74515.9,0.002,1773636860443,bybit,,,,,,,,
BTC,SHORT,149.0,74500.1,0.002,1773636857444,bybit,,,,,,,,
BTC,SHORT,148.87,74433.5,0.002,1773636855443,bybit,,,,,,,,
BTC,SHORT,148.6508,74325.4,0.002,1773636855497,binance,,,,,,LIMIT,74147.0,FILLED
,short,,74395.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.0014,104.15,0xed45fe45...,-1.23,,,
BTC,SHORT,89.03,74193.7,0.12,1773636882362,okx,,,,,,,,
,short,,74394.0,,2026-03-16T04:55:01.939000,hyperliquid,BTC,0.00101,75.14,0xb13b09de...,-2.94,,,
BTC,SHORT,74.56,74562.5,0.001,1773636880944,bybit,,,,,,,,
BTC,SHORT,74.52,74516.0,0.001,1773636860943,bybit,,,,,,,,
BTC,SHORT,74.49,74485.2,0.001,1773636856443,bybit,,,,,,,,
BTC,SHORT,74.47,74466.7,0.001,1773636856944,bybit,,,,,,,,
BTC,SHORT,74.43,74430.3,0.001,1773636855944,bybit,,,,,,,,
BTC,SHORT,7.45,74454.5,0.01,1773636880633,okx,,,,,,,,
BTC,SHORT,7.44,74439.6,0.01,1773636859386,okx,,,,,,,,
