symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,address,pnl
BTC,LONG,3412.0,73062.1,4.67,1773648932682,okx,,,,,,
BTC,LONG,2408.78,72993.3,0.033,1773648932444,bybit,,,,,,
BTC,LONG,2381.8,73061.2,3.26,1773648969735,okx,,,,,,
BTC,LONG,1536.97,73189.0,0.021,1773648872776,binance,binance,,,,,
BTC,SHORT,1479.95,73997.4,0.02,1773648815944,bybit,,,,,,
BTC,LONG,1373.62,73065.1,1.88,1773648921519,okx,,,,,,
BTC,LONG,729.95,72995.1,0.01,1773648932444,bybit,,,,,,
BTC,LONG,659.2,73244.1,0.009,1773648848985,binance,binance,,,,,
BTC,LONG,440.17,73361.9,0.6,1773648918778,okx,,,,,,
BTC,LONG,439.33,73221.38,0.006,1773648855482,binance,binance,,,,,
BTC,LONG,410.77,73351.7,0.56,1773648970700,okx,,,,,,
BTC,SHORT,295.73,73932.8,0.004,1773648815928,binance,binance,,,,,
BTC,LONG,219.02,73005.8,0.003,1773648932444,bybit,,,,,,
BTC,LONG,218.99,72997.6,0.003,1773648921444,bybit,,,,,,
,long,,73682.0,,2026-03-16T08:09:15.197000,hyperliquid,,BTC,0.00184,135.57,0x2fa5e926...,4.68
BTC,LONG,131.5,73057.0,0.18,1773648971892,okx,,,,,,
BTC,LONG,102.69,73348.4,0.14,1773648972233,okx,,,,,,
