symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,exchange
BTC,LONG,14780.542000000001,73171.0,0.202,1773648907447,LIMIT,73450.6,FILLED,binance,,,,,,
,short,,73663.0,,2026-03-16T08:10:08.315597+00:00,,,,hyperliquid,BTC,0.1837,13531.8931,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73663.0,,2026-03-16T08:10:08.325067+00:00,,,,hyperliquid,BTC,0.1837,13531.8931,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73682.0,,2026-03-16T08:09:08.322978+00:00,,,,hyperliquid,BTC,0.09443,6957.79126,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73682.0,,2026-03-16T08:09:08.325464+00:00,,,,hyperliquid,BTC,0.09443,6957.79126,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73663.0,,2026-03-16T08:10:38.419543+00:00,,,,hyperliquid,BTC,0.08461,6232.62643,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73663.0,,2026-03-16T08:10:40.652052+00:00,,,,hyperliquid,BTC,0.08461,6232.62643,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73678.0,,2026-03-16T08:09:39.647537+00:00,,,,hyperliquid,BTC,0.06822,5026.313160000001,0x31dea2516beee92135b96f464eeec3cf292a13f2,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73678.0,,2026-03-16T08:09:39.667304+00:00,,,,hyperliquid,BTC,0.06822,5026.313160000001,0x31dea2516beee92135b96f464eeec3cf292a13f2,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
BTC,LONG,4896.0049,73074.7,0.067,1773648919622,LIMIT,73360.0,FILLED,binance,,,,,,
,short,,73682.0,,2026-03-16T08:09:08.322083+00:00,,,,hyperliquid,BTC,0.06147,4529.23254,0x856c35038594767646266bc7fd68dc26480e910d,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73682.0,,2026-03-16T08:09:08.324623+00:00,,,,hyperliquid,BTC,0.06147,4529.23254,0x856c35038594767646266bc7fd68dc26480e910d,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73683.0,,2026-03-16T08:08:10.785755+00:00,,,,hyperliquid,BTC,0.05058,3726.88614,0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73683.0,,2026-03-16T08:08:13.241971+00:00,,,,hyperliquid,BTC,0.05058,3726.88614,0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
BTC,LONG,3653.0400000000004,73060.8,0.05,1773648932478,LIMIT,73350.0,FILLED,binance,,,,,,
,short,,73646.0,,2026-03-16T08:11:07.124067+00:00,,,,hyperliquid,BTC,0.04823,3551.9465800000003,0xbc82a96210555a04bdadb29cd442f18687f1fb9a,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73646.0,,2026-03-16T08:11:07.127439+00:00,,,,hyperliquid,BTC,0.04823,3551.9465800000003,0xbc82a96210555a04bdadb29cd442f18687f1fb9a,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
BTC,LONG,3412.0,73062.1,4.67,1773648932682,,,,okx,,,,,,
,short,,73350.0,,2026-03-16T08:17:06.970741+00:00,,,,hyperliquid,BTC,0.04596,3371.166,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73350.0,,2026-03-16T08:17:07.006639+00:00,,,,hyperliquid,BTC,0.04596,3371.166,0xce7164b7ba9bc64b5a8624c90def60accfdfb1b6,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73714.0,,2026-03-16T08:12:05.502151+00:00,,,,hyperliquid,BTC,0.04528,3337.76992,0xc6ac58a7a63339898aeda32499a8238a46d88e84,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73714.0,,2026-03-16T08:12:05.525468+00:00,,,,hyperliquid,BTC,0.04528,3337.76992,0xc6ac58a7a63339898aeda32499a8238a46d88e84,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73467.0,,2026-03-16T08:15:06.629049+00:00,,,,hyperliquid,BTC,0.04456,3273.6895200000004,0x00783eb176f3ae0148dd0b6d65a006f625ec3861,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73467.0,,2026-03-16T08:15:06.636958+00:00,,,,hyperliquid,BTC,0.04456,3273.6895200000004,0x00783eb176f3ae0148dd0b6d65a006f625ec3861,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73683.0,,2026-03-16T08:12:35.635084+00:00,,,,hyperliquid,BTC,0.04435,3267.84105,0xc6ac58a7a63339898aeda32499a8238a46d88e84,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73683.0,,2026-03-16T08:12:35.646834+00:00,,,,hyperliquid,BTC,0.04435,3267.84105,0xc6ac58a7a63339898aeda32499a8238a46d88e84,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73357.0,,2026-03-16T08:16:05.598453+00:00,,,,hyperliquid,BTC,0.04453,3266.58721,0x13558be785661958932ceac35ba20de187275a42,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73357.0,,2026-03-16T08:16:05.608118+00:00,,,,hyperliquid,BTC,0.04453,3266.58721,0x13558be785661958932ceac35ba20de187275a42,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73671.0,,2026-03-16T08:13:06.572986+00:00,,,,hyperliquid,BTC,0.04055,2987.35905,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73671.0,,2026-03-16T08:13:06.579431+00:00,,,,hyperliquid,BTC,0.04055,2987.35905,0x023a3d058020fb76cca98f01b3c48c8938a22355,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73679.0,,2026-03-16T08:09:38.416512+00:00,,,,hyperliquid,BTC,0.03798,2798.32842,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73679.0,,2026-03-16T08:09:38.428551+00:00,,,,hyperliquid,BTC,0.03798,2798.32842,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73682.0,,2026-03-16T08:08:38.542538+00:00,,,,hyperliquid,BTC,0.03797,2797.70554,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73682.0,,2026-03-16T08:08:38.555780+00:00,,,,hyperliquid,BTC,0.03797,2797.70554,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73347.0,,2026-03-16T08:16:35.698607+00:00,,,,hyperliquid,BTC,0.03727,2733.6426899999997,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73347.0,,2026-03-16T08:16:35.705835+00:00,,,,hyperliquid,BTC,0.03727,2733.6426899999997,0x1a2e6afa298b1cc50939b4b2b0b430e3c1ef3459,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
,short,,73630.0,,2026-03-16T08:13:36.408901+00:00,,,,hyperliquid,BTC,0.03643,2682.3408999999997,0xb6bfa5b79c1f06d5cf21d21e00f25d8da9fcfdb1,0xedf2b293d5b358f17330c8412e0be36feaa8fc0b,
