exchange,symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status
okx,BTC,LONG,99051.19,73046.6,135.6,1773649752001,okx,,,,,,,,
,,long,,73333.0,,2026-03-16T08:29:05.736000,hyperliquid,BTC,0.10217,7492.43,0xb714d17d...,-89.3,,,
hyperliquid,BTC,LONG,7492.43,73333.0,0.10217,1773649745736,hyperliquid,,,,,,,,
,BTC,LONG,7041.11,73344.9,9.6,1773649746336,okx,,,,,,,,
,BTC,LONG,5984.69,72984.0,0.082,1773649736443,bybit,,,,,,,,
,,long,,73333.0,,2026-03-16T08:29:05.736000,hyperliquid,BTC,0.06532,4790.11,0xb714d17d...,-57.08,,,
hyperliquid,BTC,LONG,4790.11,73333.0,0.06532,1773649745736,hyperliquid,,,,,,,,
,,long,,73333.0,,2026-03-16T08:29:05.736000,hyperliquid,BTC,0.04889,3585.25,0xb714d17d...,-42.73,,,
hyperliquid,BTC,LONG,3585.25,73333.0,0.04889,1773649745736,hyperliquid,,,,,,,,
,,long,,73333.0,,2026-03-16T08:29:05.736000,hyperliquid,BTC,0.02977,2183.12,0xb714d17d...,-26.02,,,
hyperliquid,BTC,LONG,2183.12,73333.0,0.02977,1773649745736,hyperliquid,,,,,,,,
,,long,,73333.0,,2026-03-16T08:29:05.736000,hyperliquid,BTC,0.02727,1999.79,0xb714d17d...,-23.83,,,
hyperliquid,BTC,LONG,1999.79,73333.0,0.02727,1773649745736,hyperliquid,,,,,,,,
,BTC,LONG,1402.5,73047.1,1.92,1773649751303,okx,,,,,,,,
,,long,,73333.0,,2026-03-16T08:29:05.736000,hyperliquid,BTC,0.01596,1170.39,0xb714d17d...,-13.95,,,
hyperliquid,BTC,LONG,1170.39,73333.0,0.01596,1773649745736,hyperliquid,,,,,,,,
,BTC,SHORT,294.84040000000005,73710.1,0.004,1773649578624,binance,,,,,,LIMIT,73408.4,FILLED
okx,BTC,LONG,94.96,73043.3,0.13,1773649766115,okx,,,,,,,,
