symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,exchange
BTC,LONG,24148.39,72889.8,33.13,1773650393542,okx,,,,,,
,long,,73168.0,,2026-03-16T08:39:59.292000,hyperliquid,BTC,0.27123,19845.36,0xd0e85e9d...,-237.92,
BTC,LONG,19845.36,73168.0,0.27123,1773650399292,hyperliquid,,,,,,hyperliquid
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.24886,18194.65,0xc62da010...,-223.73,
,long,,73168.0,,2026-03-16T08:39:59.292000,hyperliquid,BTC,0.2269,16601.82,0xd0e85e9d...,-199.04,
BTC,LONG,16601.82,73168.0,0.2269,1773650399292,hyperliquid,,,,,,hyperliquid
BTC,LONG,12348.73,73156.0,16.88,1773650476882,okx,,,,,,
,long,,73168.0,,2026-03-16T08:39:59.292000,hyperliquid,BTC,0.1036,7580.2,0xd0e85e9d...,-90.88,
BTC,LONG,7580.2,73168.0,0.1036,1773650399292,hyperliquid,,,,,,hyperliquid
,long,,73168.0,,2026-03-16T08:39:59.292000,hyperliquid,BTC,0.0944,6907.06,0xd0e85e9d...,-82.81,
BTC,LONG,6907.06,73168.0,0.0944,1773650399292,hyperliquid,,,,,,hyperliquid
BTC,LONG,4713.21,72847.2,6.47,1773650483315,okx,,,,,,
,long,,73100.0,,2026-03-16T08:41:31.739000,hyperliquid,BTC,0.05884,4301.2,0x2a4d72a0...,-46.15,
,long,,73194.0,,2026-03-16T08:34:23.827000,hyperliquid,BTC,0.0463,3388.88,0x6a184384...,-40.42,
BTC,LONG,2988.95,72901.1,0.041,1773650394612,binance,,,,,,binance
BTC,LONG,2398.3,72896.6,3.29,1773650389858,okx,,,,,,
BTC,LONG,1456.49,72824.7,0.02,1773650394943,bybit,,,,,,
BTC,LONG,1456.02,73166.8,1.99,1773650406504,okx,,,,,,
,long,,73200.0,,2026-03-16T08:34:11.238000,hyperliquid,BTC,0.01783,1305.16,0x7b248b81...,-15.8,
BTC,LONG,1273.28,73176.9,1.74,1773650394524,okx,,,,,,
BTC,LONG,1091.94,72796.0,0.015,1773650477443,bybit,,,,,,
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.01066,779.37,0x92475583...,-9.47,
BTC,LONG,702.32,73158.7,0.96,1773650475678,okx,,,,,,
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.00841,614.87,0xfc15fb4d...,-6.11,
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.00667,487.66,0x46fca02a...,-5.89,
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.00649,474.5,0xed5dfeaf...,-5.72,
BTC,LONG,436.92,72820.8,0.006,1773650394943,bybit,,,,,,
,long,,73136.0,,2026-03-16T08:41:21.090000,hyperliquid,BTC,0.00596,435.89,0x8d4ee03f...,-5.09,
,long,,73200.0,,2026-03-16T08:34:11.238000,hyperliquid,BTC,0.00573,419.44,0x748a1af4...,-5.07,
,long,,73194.0,,2026-03-16T08:34:23.827000,hyperliquid,BTC,0.00484,354.26,0x8f0c1c9f...,-4.24,
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.00481,351.67,0x3e3084ea...,-4.31,
BTC,LONG,291.69,72921.5,0.004,1773650261677,binance,,,,,,binance
BTC,LONG,291.22,72803.8,0.004,1773650476943,bybit,,,,,,
,long,,73136.0,,2026-03-16T08:41:21.090000,hyperliquid,BTC,0.0039,285.23,0x01364b09...,-3.92,
,long,,73200.0,,2026-03-16T08:34:11.238000,hyperliquid,BTC,0.00241,176.41,0xc86af8b0...,-2.1,
BTC,LONG,145.58,72791.4,0.002,1773650480943,bybit,,,,,,
BTC,LONG,145.53,72765.0,0.002,1773650482943,bybit,,,,,,
,long,,73160.0,,2026-03-16T08:40:11.392000,hyperliquid,BTC,0.00191,139.74,0xdab2c64e...,-1.59,
BTC,LONG,139.74,73160.0,0.00191,1773650411392,hyperliquid,,,,,,hyperliquid
BTC,LONG,109.76,73171.3,0.15,1773650404255,okx,,,,,,
BTC,LONG,72.82,72823.7,0.001,1773650394444,bybit,,,,,,
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.00099,72.38,0xaf28e613...,-0.89,
BTC,LONG,58.54,73169.0,0.08,1773650405692,okx,,,,,,
,long,,73112.0,,2026-03-16T08:41:25.152000,hyperliquid,BTC,0.00017,12.43,0xd7eb901f...,-0.17,
BTC,LONG,7.29,72862.3,0.01,1773650480293,okx,,,,,,
