symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status,exchange
BTC,LONG,294311.0,72793.4,404.31,1773650589906,okx,,,,,,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.92835,67666.5,0x38a8a6f5...,-963.63,,,,
BTC,LONG,58766.15,72631.5,80.91,1773650699072,okx,,,,,,,,,
BTC,LONG,56691.926400000004,72868.8,0.778,1773650478644,binance,,,,,,LIMIT,73164.6,FILLED,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.57133,41624.82,0x38a8a6f5...,-611.89,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.52468,38226.09,0x9c14fcf8...,-475.47,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.51428,37485.35,0xe817faf8...,-528.47,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.4475,32617.83,0xe817faf8...,-459.85,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.44402,32349.52,0xe817faf8...,-470.93,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.40478,29504.01,0x38a8a6f5...,-420.16,,,,
BTC,LONG,28844.32,73079.1,39.47,1773650590362,okx,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.3609,26293.73,0xceb457fb...,-396.99,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.35628,25957.14,0x84132552...,-347.02,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.31076,22650.99,0x38a8a6f5...,-322.57,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.28222,20570.73,0xe817faf8...,-290.01,,,,
BTC,LONG,19705.87,72715.4,0.271,1773650590944,bybit,,,,,,,,,
BTC,LONG,18207.725,72830.9,0.25,1773650486546,binance,,,,,,LIMIT,73127.5,FILLED,
BTC,LONG,18194.65,73112.0,0.24886,1773650485152,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.23433,17072.35,0xf88752ff...,-224.28,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.20566,14990.35,0xe817faf8...,-211.34,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.20563,14988.17,0xe817faf8...,-211.31,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.20426,14881.57,0x29bd76f2...,-226.93,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.17687,12891.88,0x38a8a6f5...,-183.59,,,,
BTC,LONG,12348.73,73156.0,16.88,1773650476882,okx,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.16264,11849.3,0x78eabdd9...,-153.14,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.15538,11325.49,0x38a8a6f5...,-161.28,,,,
BTC,LONG,9899.4264,72789.9,0.136,1773650597127,binance,,,,,,LIMIT,73116.7,FILLED,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.12561,9155.59,0x38a8a6f5...,-130.38,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.12083,8807.18,0xe817faf8...,-124.16,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.1079,7864.72,0x38a8a6f5...,-112.0,,,,
BTC,LONG,6181.66,72725.4,0.085,1773650590944,bybit,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.08384,6108.25,0x487c1b63...,-87.19,,,,
BTC,LONG,6047.4132,72860.4,0.083,1773650481219,binance,,,,,,LIMIT,73149.4,FILLED,
BTC,LONG,5817.47,72718.4,0.08,1773650590443,bybit,,,,,,,,,
,long,,72889.0,,2026-03-16T08:45:02.319000,hyperliquid,BTC,0.07568,5516.24,0x38a8a6f5...,-78.56,,,,
BTC,LONG,4713.21,72847.2,6.47,1773650483315,okx,,,,,,,,,
,long,,73100.0,,2026-03-16T08:41:31.739000,hyperliquid,BTC,0.05884,4301.2,0x2a4d72a0...,-46.15,,,,
BTC,LONG,4301.2,73100.0,0.05884,1773650491739,hyperliquid,,,,,,,,,hyperliquid
,long,,72873.0,,2026-03-16T08:45:11.290000,hyperliquid,BTC,0.05419,3948.99,0x4097a1b4...,-47.27,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.0521,3795.8,0x28960a24...,-51.32,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.04964,3616.57,0xb2345d79...,-45.02,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.04735,3449.73,0x3e6275cb...,-42.85,,,,
BTC,LONG,3418.05,72724.5,0.047,1773650590944,bybit,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.04151,3024.25,0x7e0683c3...,-41.51,,,,
BTC,LONG,2256.9643,72805.3,0.031,1773650590519,binance,,,,,,LIMIT,73076.9,FILLED,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.02858,2082.22,0x4d48ce07...,-26.21,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.02709,1973.67,0x46ee9951...,-28.8,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.02698,1965.65,0x2f37b076...,-26.17,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.0261,1901.54,0x5e303627...,-24.9,,,,
BTC,LONG,1818.22,72728.8,0.025,1773650588943,bybit,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.02486,1811.2,0x21c23cc0...,-26.65,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.02485,1810.47,0x73f87172...,-23.18,,,,
BTC,LONG,1747.0895999999998,72795.4,0.024,1773650593687,binance,,,,,,LIMIT,73088.8,FILLED,
BTC,LONG,1674.6668000000002,72811.6,0.023,1773650569413,binance,,,,,,LIMIT,73101.4,FILLED,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.02163,1575.88,0xdb1e6149...,-20.87,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01816,1323.06,0x65ad25f8...,-18.12,,,,
BTC,LONG,1310.5781999999997,72809.9,0.018,1773650585694,binance,,,,,,LIMIT,73099.0,FILLED,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01723,1255.31,0x658beee7...,-16.32,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01706,1242.92,0x027c1b2d...,-15.51,,,,
BTC,LONG,1163.62,72726.2,0.016,1773650590443,bybit,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01569,1143.11,0x5d201cbd...,-16.11,,,,
BTC,LONG,1091.94,72796.0,0.015,1773650477443,bybit,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01357,988.66,0x328339a8...,-12.29,,,,
BTC,LONG,972.48,72572.9,1.34,1773650700142,okx,,,,,,,,,
BTC,LONG,877.14,73095.0,1.2,1773650491196,okx,,,,,,,,,
,long,,73080.0,,2026-03-16T08:43:14.288000,hyperliquid,BTC,0.01197,874.77,0xd4a67f3a...,-11.23,,,,
BTC,LONG,874.77,73080.0,0.01197,1773650594288,hyperliquid,,,,,,,,,hyperliquid
BTC,LONG,873.05,72754.3,0.012,1773650489943,bybit,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01125,819.63,0x6241d91f...,-12.54,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01083,789.03,0xb8661de9...,-11.58,,,,
BTC,LONG,779.37,73112.0,0.01066,1773650485152,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.01007,733.66,0x4ab4129e...,-10.16,,,,
BTC,LONG,702.32,73158.7,0.96,1773650475678,okx,,,,,,,,,
BTC,LONG,684.1,72776.6,0.94,1773650697673,okx,,,,,,,,,
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00938,683.39,0x1aaa5935...,-9.21,,,,
BTC,LONG,655.3997999999999,72822.2,0.009,1773650492411,binance,,,,,,LIMIT,73119.0,FILLED,
BTC,LONG,654.56,72729.0,0.009,1773650589444,bybit,,,,,,,,,
BTC,LONG,654.42,72713.1,0.009,1773650592443,bybit,,,,,,,,,
BTC,LONG,614.87,73112.0,0.00841,1773650485152,hyperliquid,,,,,,,,,hyperliquid
,long,,72856.0,,2026-03-16T08:44:59.236000,hyperliquid,BTC,0.00803,585.03,0x2bc4d9f8...,-9.48,,,,
