symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,liquidated_address,liquidator_address,exchange,order_type,avg_price,order_status
BTC,LONG,7445.48,72994.9,0.102,1773655770445,bybit,,,,,,,,,
,long,,73324.0,,2026-03-16T10:11:58.430062+00:00,hyperliquid,BTC,0.07934,5817.526159999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,,,,
,long,,73324.0,,2026-03-16T10:11:58.435610+00:00,hyperliquid,BTC,0.07934,5817.526159999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xfeee942a06d2f8012823ccde7bf7bcbcaa29a09f,,,,
,long,,73323.0,,2026-03-16T10:10:59.631085+00:00,hyperliquid,BTC,0.07934,5817.446819999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73323.0,,2026-03-16T10:10:59.638197+00:00,hyperliquid,BTC,0.07934,5817.446819999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73304.0,,2026-03-16T10:08:57.644486+00:00,hyperliquid,BTC,0.07934,5815.939359999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73304.0,,2026-03-16T10:08:57.647279+00:00,hyperliquid,BTC,0.07934,5815.939359999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73299.0,,2026-03-16T10:12:57.743012+00:00,hyperliquid,BTC,0.07934,5815.542659999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73299.0,,2026-03-16T10:12:57.747731+00:00,hyperliquid,BTC,0.07934,5815.542659999999,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73293.0,,2026-03-16T10:08:28.916588+00:00,hyperliquid,BTC,0.07934,5815.06662,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73293.0,,2026-03-16T10:08:28.964982+00:00,hyperliquid,BTC,0.07934,5815.06662,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73263.0,,2026-03-16T10:07:27.828049+00:00,hyperliquid,BTC,0.07934,5812.68642,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73263.0,,2026-03-16T10:07:27.831576+00:00,hyperliquid,BTC,0.07934,5812.68642,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,,,,
,long,,73263.0,,2026-03-16T10:07:58.757191+00:00,hyperliquid,BTC,0.07308,5354.06004,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73263.0,,2026-03-16T10:07:58.810926+00:00,hyperliquid,BTC,0.07308,5354.06004,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x023a3d058020fb76cca98f01b3c48c8938a22355,,,,
,long,,73406.0,,2026-03-16T10:04:29.206223+00:00,hyperliquid,BTC,0.0681,4998.9486,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x0291639ea7178930475da17b579e1ac2de8faed8,,,,
,long,,73406.0,,2026-03-16T10:04:29.226119+00:00,hyperliquid,BTC,0.0681,4998.9486,0x2f776d9f689ebc76064dec8bba6204ce9c32726c,0x0291639ea7178930475da17b579e1ac2de8faed8,,,,
