symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,liquidated_address,liquidator_address
BTC,LONG,3656.7300000000005,73134.6,0.05,1773663103615,LIMIT,73426.1,FILLED,binance,,,,,
BTC,LONG,2706.7239,73154.7,0.037,1773663081016,LIMIT,73421.8,FILLED,binance,,,,,
BTC,LONG,438.8358,73139.3,0.006,1773663084823,LIMIT,73431.0,FILLED,binance,,,,,
BTC,SHORT,368.579,73715.8,0.005,1773663099189,LIMIT,73435.0,FILLED,binance,,,,,
,short,,73559.0,,2026-03-16T12:14:08.171755+00:00,,,,hyperliquid,BTC,0.005,367.795,0xb3a38662575bdf1541013ce987934dba919851ea,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73559.0,,2026-03-16T12:14:08.183823+00:00,,,,hyperliquid,BTC,0.005,367.795,0xb3a38662575bdf1541013ce987934dba919851ea,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73524.0,,2026-03-16T12:15:07.667093+00:00,,,,hyperliquid,BTC,0.005,367.62,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73524.0,,2026-03-16T12:15:11.729202+00:00,,,,hyperliquid,BTC,0.005,367.62,0x4588595ee0047982cd5ca4a82ab69c3174fbc832,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73521.0,,2026-03-16T12:13:37.840330+00:00,,,,hyperliquid,BTC,0.005,367.605,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73521.0,,2026-03-16T12:13:40.771137+00:00,,,,hyperliquid,BTC,0.005,367.605,0x50d59f4c2480e107acf32c0d1e9cbe7579b01480,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73550.0,,2026-03-16T12:14:37.300478+00:00,,,,hyperliquid,BTC,0.00499,367.0145,0x13558be785661958932ceac35ba20de187275a42,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73550.0,,2026-03-16T12:14:39.549377+00:00,,,,hyperliquid,BTC,0.00499,367.0145,0x13558be785661958932ceac35ba20de187275a42,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73460.0,,2026-03-16T12:13:07.375632+00:00,,,,hyperliquid,BTC,0.00499,366.56539999999995,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73460.0,,2026-03-16T12:13:07.541194+00:00,,,,hyperliquid,BTC,0.00499,366.56539999999995,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0x69523edb8337e624ea97a0c097ac5d3dede8e3d5
,short,,73617.0,,2026-03-16T12:05:20.552357+00:00,,,,hyperliquid,BTC,0.0041,301.8297,0x2ca4927174ba283d8a57f60ef3589844035a2930,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73617.0,,2026-03-16T12:05:20.562986+00:00,,,,hyperliquid,BTC,0.0041,301.8297,0x2ca4927174ba283d8a57f60ef3589844035a2930,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73614.0,,2026-03-16T12:06:21.411826+00:00,,,,hyperliquid,BTC,0.0041,301.8174,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73614.0,,2026-03-16T12:06:21.489355+00:00,,,,hyperliquid,BTC,0.0041,301.8174,0x7dd6f02fef939cea86f0243358255f6b57a6cf0d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73609.0,,2026-03-16T12:05:51.490798+00:00,,,,hyperliquid,BTC,0.0041,301.79690000000005,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73609.0,,2026-03-16T12:05:51.494190+00:00,,,,hyperliquid,BTC,0.0041,301.79690000000005,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73544.0,,2026-03-16T12:13:20.994904+00:00,,,,hyperliquid,BTC,0.0041,301.53040000000004,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73544.0,,2026-03-16T12:13:21.111575+00:00,,,,hyperliquid,BTC,0.0041,301.53040000000004,0x4d969e59b312970cc07af266938a4433ccae0b4c,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73543.0,,2026-03-16T12:06:49.973875+00:00,,,,hyperliquid,BTC,0.0041,301.52630000000005,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73543.0,,2026-03-16T12:06:50.010820+00:00,,,,hyperliquid,BTC,0.0041,301.52630000000005,0xf8c5362479968e9b9643c9f3b93fbaf3db008acd,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73541.0,,2026-03-16T12:10:49.533757+00:00,,,,hyperliquid,BTC,0.0041,301.5181,0x0b1ace05eb9ef1c3a1951b763700ecad24f27741,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73541.0,,2026-03-16T12:10:49.541374+00:00,,,,hyperliquid,BTC,0.0041,301.5181,0x0b1ace05eb9ef1c3a1951b763700ecad24f27741,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73525.0,,2026-03-16T12:09:50.970816+00:00,,,,hyperliquid,BTC,0.0041,301.45250000000004,0x49dfb8ddbd3ba96c0699a3f120e71f2516c345d8,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73525.0,,2026-03-16T12:09:51.010430+00:00,,,,hyperliquid,BTC,0.0041,301.45250000000004,0x49dfb8ddbd3ba96c0699a3f120e71f2516c345d8,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73499.0,,2026-03-16T12:07:51.183511+00:00,,,,hyperliquid,BTC,0.0041,301.34590000000003,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73499.0,,2026-03-16T12:07:51.231543+00:00,,,,hyperliquid,BTC,0.0041,301.34590000000003,0x5eaac7c475b1fad85701f02c4e9e796a53f94bd5,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73497.0,,2026-03-16T12:09:21.208051+00:00,,,,hyperliquid,BTC,0.0041,301.33770000000004,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73497.0,,2026-03-16T12:09:21.359870+00:00,,,,hyperliquid,BTC,0.0041,301.33770000000004,0x551946bd7965303493ff47ecd8c7f2ba8d754d0d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73489.0,,2026-03-16T12:08:19.680218+00:00,,,,hyperliquid,BTC,0.0041,301.30490000000003,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73489.0,,2026-03-16T12:08:19.685467+00:00,,,,hyperliquid,BTC,0.0041,301.30490000000003,0xbe1f79b4ca0a09fdd71e0055b8e062ea82ad315d,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73484.0,,2026-03-16T12:12:50.057722+00:00,,,,hyperliquid,BTC,0.0041,301.2844,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73484.0,,2026-03-16T12:12:50.086805+00:00,,,,hyperliquid,BTC,0.0041,301.2844,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73476.0,,2026-03-16T12:08:50.778044+00:00,,,,hyperliquid,BTC,0.0041,301.25160000000005,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73476.0,,2026-03-16T12:08:52.989217+00:00,,,,hyperliquid,BTC,0.0041,301.25160000000005,0xa1d22621c9b077ce4ac468908114a82b2de4a8db,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73446.0,,2026-03-16T12:11:51.156352+00:00,,,,hyperliquid,BTC,0.0041,301.1286,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
,short,,73446.0,,2026-03-16T12:11:53.484432+00:00,,,,hyperliquid,BTC,0.0041,301.1286,0xbb160cb61e694570f9d570f9fcde7c61dd2143ad,0xad68fabb1bec8b08c8080ad165ae5bdec64136d6
