symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,exchange
BTC,SHORT,51197.65,74741.1,0.685,1773670138943,bybit,,,,
BTC,SHORT,8520.31,74739.6,0.114,1773670275444,bybit,,,,
BTC,SHORT,8447.96,74760.7,0.113,1773670140959,bybit,,,,
BTC,SHORT,4967.91,74705.4,6.65,1773670140904,okx,,,,
BTC,SHORT,4584.0,74657.9,6.14,1773670136018,okx,,,,
BTC,SHORT,3661.1036,74716.4,0.049,1773670142770,binance,LIMIT,74395.8,FILLED,
BTC,SHORT,3661.1,74716.4,0.049,1773670142770,binance,,,,binance
BTC,SHORT,2692.31,74786.5,0.036,1773670142443,bybit,,,,
BTC,SHORT,1599.01,74720.1,2.14,1773670141629,okx,,,,
BTC,SHORT,1152.22,74336.6,1.55,1773670133982,okx,,,,
BTC,SHORT,1067.27,74634.5,1.43,1773670134148,okx,,,,
BTC,SHORT,746.99,74699.0,0.01,1773670140255,binance,LIMIT,74411.9,FILLED,
BTC,SHORT,672.12,74680.2,0.009,1773670233443,bybit,,,,
BTC,SHORT,574.77,74645.9,0.77,1773670135380,okx,,,,
BTC,SHORT,560.2,74692.7,0.75,1773670139646,okx,,,,
BTC,SHORT,522.65,74663.9,0.007,1773670137409,binance,,,,binance
BTC,SHORT,522.6473,74663.9,0.007,1773670137409,binance,LIMIT,74368.8,FILLED,
BTC,SHORT,448.72,74787.0,0.006,1773670142943,bybit,,,,
BTC,SHORT,448.52,74753.1,0.006,1773670138443,bybit,,,,
BTC,SHORT,447.92339999999996,74653.9,0.006,1773670135775,binance,LIMIT,74365.1,FILLED,
BTC,SHORT,447.92,74653.9,0.006,1773670135775,binance,,,,binance
BTC,SHORT,447.83,74637.8,0.006,1773670134712,binance,,,,binance
BTC,SHORT,447.82680000000005,74637.8,0.006,1773670134712,binance,LIMIT,74359.2,FILLED,
BTC,SHORT,373.54,74707.8,0.005,1773670134445,bybit,,,,
BTC,SHORT,372.0,74399.0,0.5,1773670258790,okx,,,,
BTC,SHORT,342.13,74375.2,0.46,1773670138061,okx,,,,
BTC,LONG,296.32,74079.4,0.004,1773670151419,binance,,,,binance
BTC,LONG,296.31759999999997,74079.4,0.004,1773670151419,binance,LIMIT,74358.0,FILLED,
BTC,SHORT,246.39,74662.3,0.33,1773670137588,okx,,,,
BTC,SHORT,224.1411,74713.7,0.003,1773670279414,binance,LIMIT,74410.1,FILLED,
BTC,SHORT,224.1219,74707.3,0.003,1773670141398,binance,LIMIT,74420.8,FILLED,
BTC,SHORT,224.12,74707.3,0.003,1773670141398,binance,,,,binance
BTC,SHORT,74.77,74771.1,0.001,1773670258443,bybit,,,,
BTC,SHORT,74.76,74760.2,0.001,1773670139443,bybit,,,,
