exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,coin,size,value_usd,address,pnl
okx,BTC,LONG,445682.95,73680.0,604.89,1773671279410,okx,,,,,,,,
,BTC,LONG,8975.32,73568.2,0.122,1773671294444,bybit,,,,,,,,
,BTC,LONG,8393.35,73625.9,0.114,1773671242980,bybit,,,,,,,,
,BTC,LONG,735.53,73553.4,0.01,1773671301444,bybit,,,,,,,,
,BTC,LONG,441.5,73582.7,0.006,1773671290443,bybit,,,,,,,,
,BTC,LONG,221.3505,73783.5,0.003,1773671064089,binance,LIMIT,74064.5,FILLED,,,,,
binance,BTC,LONG,221.35,73783.5,0.003,1773671064089,binance,,,,,,,,
okx,BTC,LONG,184.15,73661.2,0.25,1773671280867,okx,,,,,,,,
binance,BTC,LONG,147.6,73798.4,0.002,1773671056831,binance,,,,,,,,
,BTC,LONG,147.5968,73798.4,0.002,1773671056831,binance,LIMIT,74084.9,FILLED,,,,,
,,long,,74058.0,,2026-03-16T14:25:33.624000,hyperliquid,,,,BTC,0.00188,139.23,0x673b836e...,3.4
hyperliquid,BTC,LONG,139.23,74058.0,0.00188,1773671133624,hyperliquid,,,,,,,,
,BTC,LONG,73.63,73626.3,0.001,1773671242460,bybit,,,,,,,,
,BTC,LONG,73.58,73582.5,0.001,1773671290443,bybit,,,,,,,,
okx,BTC,LONG,29.46,73658.5,0.04,1773671281050,okx,,,,,,,,
,BTC,LONG,7.37,73685.8,0.01,1773671249958,okx,,,,,,,,
