symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status,exchange,coin,size,value_usd,address,pnl
BTC,LONG,445682.95,73680.0,604.89,1773671279410,okx,,,,,,,,,
BTC,LONG,137230.77,73859.4,185.8,1773671316511,okx,,,,,,,,,
BTC,LONG,9578.83,73910.7,12.96,1773671308849,okx,,,,,,,,,
BTC,LONG,8975.32,73568.2,0.122,1773671294444,bybit,,,,,,,,,
BTC,LONG,8393.35,73625.9,0.114,1773671242980,bybit,,,,,,,,,
BTC,LONG,7993.85,73540.5,10.87,1773671317888,okx,,,,,,,,,
BTC,LONG,5252.53,73875.3,7.11,1773671312914,okx,,,,,,,,,
BTC,LONG,4264.58,73527.3,0.058,1773671311944,bybit,,,,,,,,,
BTC,LONG,4115.02,73613.9,5.59,1773671310299,okx,,,,,,,,,
BTC,LONG,3308.62,73525.0,0.045,1773671311444,bybit,,,,,,,,,
BTC,LONG,1910.92,73496.8,0.026,1773671317944,bybit,,,,,,,,,
BTC,LONG,1470.27,73513.3,0.02,1773671312443,bybit,,,,,,,,,
BTC,LONG,1028.82,73487.3,0.014,1773671317444,bybit,,,,,,,,,
BTC,LONG,955.93,73532.8,0.013,1773671311444,bybit,,,,,,,,,
BTC,LONG,735.53,73553.4,0.01,1773671301444,bybit,,,,,,,,,
BTC,LONG,661.75,73528.1,0.009,1773671311444,bybit,,,,,,,,,
BTC,LONG,587.91,73488.2,0.008,1773671317944,bybit,,,,,,,,,
BTC,LONG,463.23,73529.3,0.63,1773671325263,okx,,,,,,,,,
BTC,LONG,441.5,73582.7,0.006,1773671290443,bybit,,,,,,,,,
BTC,LONG,367.62,73524.5,0.005,1773671311444,bybit,,,,,,,,,
BTC,LONG,221.48,73826.0,0.3,1773671324974,okx,,,,,,,,,
BTC,LONG,221.3505,73783.5,0.003,1773671064089,binance,LIMIT,74064.5,FILLED,,,,,,
BTC,LONG,221.35,73783.5,0.003,1773671064089,binance,,,,binance,,,,,
BTC,LONG,220.96,73652.4,0.3,1773671289521,okx,,,,,,,,,
BTC,LONG,220.6,73533.5,0.003,1773671311944,bybit,,,,,,,,,
BTC,LONG,191.47,73642.1,0.26,1773671299866,okx,,,,,,,,,
BTC,LONG,184.15,73661.2,0.25,1773671280867,okx,,,,,,,,,
BTC,LONG,147.6,73798.4,0.002,1773671056831,binance,,,,binance,,,,,
BTC,LONG,147.5968,73798.4,0.002,1773671056831,binance,LIMIT,74084.9,FILLED,,,,,,
,long,,74058.0,,2026-03-16T14:25:33.624000,hyperliquid,,,,,BTC,0.00188,139.23,0x673b836e...,3.4
BTC,LONG,139.23,74058.0,0.00188,1773671133624,hyperliquid,,,,hyperliquid,,,,,
BTC,LONG,73.63,73626.3,0.001,1773671242460,bybit,,,,,,,,,
BTC,LONG,73.58,73582.5,0.001,1773671290443,bybit,,,,,,,,,
BTC,LONG,73.56,73558.1,0.001,1773671301943,bybit,,,,,,,,,
BTC,LONG,29.46,73658.5,0.04,1773671281050,okx,,,,,,,,,
BTC,LONG,14.7,73515.7,0.02,1773671326668,okx,,,,,,,,,
BTC,LONG,7.37,73685.8,0.01,1773671249958,okx,,,,,,,,,
BTC,LONG,7.36,73583.2,0.01,1773671311611,okx,,,,,,,,,
