symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,coin,size,value_usd,address,pnl,exchange
BTC,LONG,72953.0,72953.0,1.0,1773671466617,LIMIT,73288.7,FILLED,binance,,,,,,
,long,,73279.0,,2026-03-16T14:30:30.918000,,,,hyperliquid,BTC,0.67393,49384.92,0x12014d60...,26.35,
BTC,LONG,38063.46,72918.5,0.522,1773671439943,,,,bybit,,,,,,
BTC,LONG,36466.65,72933.3,0.5,1773671437944,,,,bybit,,,,,,
,long,,73309.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.41661,30541.26,0xd2ca4be8...,-12.46,
BTC,LONG,20863.21,72948.3,0.286,1773671437944,,,,bybit,,,,,,
,long,,73306.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.21438,15715.34,0xebc154f1...,-201.75,
BTC,LONG,14581.08,72905.4,0.2,1773671439444,,,,bybit,,,,,,
,long,,73310.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.167,12242.77,0xd2ca4be8...,-4.83,
,long,,73306.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.13891,10182.94,0xd3f8e645...,-140.44,
,long,,73309.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.13641,10000.08,0xd2ca4be8...,-4.08,
,long,,73306.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.12897,9454.27,0xe06bfa0b...,-127.62,
,long,,73250.0,,2026-03-16T14:30:44.026000,,,,hyperliquid,BTC,0.1112,8145.4,0x8ff08e2c...,-101.75,
BTC,LONG,8145.4,73250.0,0.1112,1773671444026,,,,hyperliquid,,,,,,hyperliquid
BTC,LONG,6850.06,72873.0,0.094,1773671457944,,,,bybit,,,,,,
BTC,LONG,5903.93,72888.0,0.081,1773671440443,,,,bybit,,,,,,
BTC,LONG,5617.06,72948.8,0.077,1773671458583,,,,binance,,,,,,binance
BTC,LONG,5617.0576,72948.8,0.077,1773671458583,LIMIT,73267.4,FILLED,binance,,,,,,
BTC,LONG,5247.6,72883.3,0.072,1773671441943,,,,bybit,,,,,,
BTC,LONG,5179.26,72947.3,0.071,1773671462758,,,,binance,,,,,,binance
BTC,LONG,5179.2582999999995,72947.3,0.071,1773671462758,LIMIT,73262.0,FILLED,binance,,,,,,
,long,,73307.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.06894,5053.78,0xd3f8e645...,-69.63,
,long,,73310.0,,2026-03-16T14:30:27.526000,,,,hyperliquid,BTC,0.06818,4998.28,0xd2ca4be8...,-1.97,
